Query,Region,Title,Price (USD),Time Left,Buying Options,Condition,Health,Scrap Value,Off-Market Contacts,Seller,Link,Image
Breguet,EBAY_US,😍 RUNS GREAT Dainty 22mm 80s SASSON Oval BAIGNOIRE Bathtub Breguet Quartz Watch,95,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,RUNNING,N/A,None,chronocrush,"=HYPERLINK(""https://www.ebay.com/itm/227473200931?_skw=Breguet&hash=item34f6759723:g:7aIAAeSw2L1qfLAh"", ""Open eBay"")",https://i.ebayimg.com/images/g/7aIAAeSw2L1qfLAh/s-l225.jpg
Breguet,EBAY_US,FINE VINTAGE 1920's ART DECO MONTAUK BREGUET LADIES GOLD FILLED WATCH -RUNS WELL,79,Unknown,Buy It Now,Pre-owned - Good,RUNNING,N/A,None,nec090362,"=HYPERLINK(""https://www.ebay.com/itm/128024291368?_skw=Breguet&hash=item1dced7a828:g:FuQAAeSwl5xp6hNt"", ""Open eBay"")",https://i.ebayimg.com/images/g/FuQAAeSwl5xp6hNt/s-l225.jpg
Breguet,EBAY_US,Seiko 17mm Quartz Black Dial Gold Tone Breguet Numerals Watch,59,Unknown,Buy It Now,Pre-owned - Good,UNKNOWN,N/A,None,watchreset,"=HYPERLINK(""https://www.ebay.com/itm/147378374505?_skw=Breguet&hash=item22506f8769:g:uy0AAeSwAdhqMT2U"", ""Open eBay"")",https://i.ebayimg.com/images/g/uy0AAeSwAdhqMT2U/s-l225.jpg
Breguet,EBAY_US,Vintage Classic SEIKO Men Watch gold tone Cabochon Date Breguet hands quartz,85,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Excellent,UNKNOWN,N/A,None,jamur_1919,"=HYPERLINK(""https://www.ebay.com/itm/237009784251?_skw=Breguet&hash=item372ee24dbb:g:8TAAAeSwCclqgcDV"", ""Open eBay"")",https://i.ebayimg.com/images/g/8TAAAeSwCclqgcDV/s-l225.jpg
Breguet,EBAY_US,Vintage Rare Untested 1989 Seiko Calatrava Breguet Numerals,62,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,BROKEN/UNTESTED,N/A,None,onemangather,"=HYPERLINK(""https://www.ebay.com/itm/277044274985?_skw=Breguet&hash=item4081202729:g:I3QAAeSwg~Vn8dH6"", ""Open eBay"")",https://i.ebayimg.com/images/g/I3QAAeSwg~Vn8dH6/s-l225.jpg
Breguet,EBAY_US,1998 Vintage Seiko Men's Breguet Classique Quartz Watch - 7N39-0A19 - WORKING!,160,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,RUNNING,N/A,None,bpvintagecorner,"=HYPERLINK(""https://www.ebay.com/itm/137523501603?_skw=Breguet&hash=item20050a1a23:g:diMAAeSw2VhqWr09"", ""Open eBay"")",https://i.ebayimg.com/images/g/diMAAeSw2VhqWr09/s-l225.jpg
Breguet,EBAY_US,New Old Stock Stainless Steel Unisex Swiss Golana Watch with Breguet Numerals,200,Unknown,"Buy It Now, Accepts Offers",New without box or papers,UNKNOWN,N/A,None,jacro_3639,"=HYPERLINK(""https://www.ebay.com/itm/307102886761?_skw=Breguet&hash=item4780c22b69:g:338AAeSw9ZVqb8bt"", ""Open eBay"")",https://i.ebayimg.com/images/g/338AAeSw9ZVqb8bt/s-l225.jpg
Breguet,EBAY_US,Vintage 1979 Timex Marlin Calendar Watch 27718 Breguet Numerals 37mm Ticks As Is,59,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Fair,UNKNOWN,N/A,None,greatdealsnation,"=HYPERLINK(""https://www.ebay.com/itm/237046048447?_skw=Breguet&hash=item37310ba6bf:g:iqoAAeSwhVlqmRkL"", ""Open eBay"")",https://i.ebayimg.com/images/g/iqoAAeSwhVlqmRkL/s-l225.jpg
Breguet,EBAY_US,VERY NICE  BREGUET LUXURY WRIST WATCH LEATHER BOX FOR MANY MODELS,69,Unknown,Buy It Now,Pre-owned - Good,UNKNOWN,N/A,None,bigwaveventures,"=HYPERLINK(""https://www.ebay.com/itm/257548506082?_skw=Breguet&hash=item3bf71653e2:g:HogAAeSwKEtqIxWn"", ""Open eBay"")",https://i.ebayimg.com/images/g/HogAAeSwKEtqIxWn/s-l225.jpg
Breguet,EBAY_US,Seiko Quartz Vintage Men’s Watch Two-Tone Breguet Dial 7431-5010 (New Battery),164,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,UNKNOWN,N/A,None,seikohunter,"=HYPERLINK(""https://www.ebay.com/itm/800623189812?_skw=Breguet&hash=itemba68dc5f34:g:8uMAAeSw-JRqne4h"", ""Open eBay"")",https://i.ebayimg.com/images/g/8uMAAeSw-JRqne4h/s-l225.jpg
